Laboratorio,Nome do coordenador,ATENCAO,Nome Oficial,BATEU,PROVAVELMENTE ERRADO
Laboratorio de Visionamento,vladimir carvalho  cine fac,,maria cristina de carvalho cascelli de azevedo,,
Laboratorio de Captacao e Edicao em Cinema e Video,leticia bispo,,leticia meda vendrusculo-fangel,,
Laboratorio de Captacao e Edicao em Cinema e Video,ruyter duarte,,janaina lopes do nascimento duarte,,
Centro de Investigacao em Economia e Financas,mauricio soares bugarin,,mauricio soares bugarin,,
Centro de Estudos Avancados de Governo e Administracao Publica,luiz guilherme de oliveira,,luiz guilherme de oliveira,,
Centro de estudos em Regulacao de Mercados,paulo cesar coutinho,,paulo cesar coutinho,,
Laboratorio Servicos: Inovacao e Mudanca,marina moreira,,marina figueiredo moreira,,
Laboratorio de Gestao de Politicas Penais ,magda de lima lucio,,magda de lima lucio,,
Laboratorio de Uso Comum,eduardo tadeu vieira,,eduardo tadeu vieira,,
Laboratorio de Informatica ,olinda maria gomes lesses,,olinda maria gomes lesses,,
Laboratorio de Informatica ,roigo rezende ferreira,,rodrigo rezende ferreira,,
Laboratorio do Departamento de Ciencias Contabeis e Atuariais,paulo cesar de melo mendes,,paulo cesar de melo mendes,,
"Centro de Estudos em Economia, Meio Ambiente e Agricultura","jorge madeira nogueira  
charles curt mueller",,jorge madeira nogueira,,
Laboratorio de Pesquisa do Terceiro Setor,clesia camilo pereira,,clesia camilo pereira,,
Laboratorio de Praticas em Financas e Gestao Governamental,abimael de jesus barros costa,,abimael de jesus barros costa,,
Public Intelligence Laboratory,magda de lima lucio,,magda de lima lucio,,
Laboratorio de Inovacao e Estrategia em Governo,antonio isio-filh,,antonio carlos moraes lessa,,
Laboratorio de Estudos e Pesquisas sobre Inovacao e Servicos,josivania silva farias,,josivania silva farias,,
Laboratorio de Estudos e Pesquisas sobre Inovacao e Servicos,marina figueiredo moreir,,marina figueiredo moreira,,
Socie-dados: Laboratorio de Estudos Avancados sobre Dados (Abertos) e Software (Livre),carlos denner dos santos jr,,carlos denner dos santos junior,,
Laboratorio de Aprendizado de Maquina em Financas e Organizacoes,peo henrique melo albuquerque,,pedro henrique melo albuquerque,,
Laboratorio de Analise de Politicas Publicas,"paulo carlos du pin calmon
caroline wollenhaupt simoes pires",,paulo carlos du pin calmon,,
" Laboratorio de Construcoes Rurais, Irrigacao e Drenagem","delvio sani, joao jose",,jose roberto de souza de almeida leite,,
" Laboratorio de Construcoes Rurais, Irrigacao e Drenagem",gervasio rios,,gervasio fernando alves rios,,
Canteiro de Experimentacoes em Arquitetura,marcio albuquerque buson,,marcio albuquerque buson,,
"Laboratorio do Ambiente Construido, Inclusao e Sustentabilidade",raquel naves blumesnchein,,raquel naves blumenschein,,
Laboratorio de Tecnologia em Estruturas e Construcao Civil na Arquitetura,carlos eduardo luna de melo,,carlos eduardo luna de melo,,
Laboratorio de Fabricacao Digital e Customizacao em Massa,neander furtado,,neander furtado silva,,
Laboratorio de Controle Ambiental e Eficiencia Energetica,claudia naves david amorim,,claudia naves david amorim,,
Laboratorio de Sustentabilidade Aplicada a Arquitura e Urbanismo,marta aiana bustos romero,,marta adriana bustos romero,,
"Nucleo de Estetica, Hermeneutica e Semiotica",flavio kothe,,flavio rene kothe,,
Laboratorio de Configuracao Arquitetonica,gabriela tenorio,,gabriela de souza tenorio,,
Laboratorio de Estudos da Urbe,peo paulo palazz,,paulo roberto menezes lima junior,,
Bioterio Central,"marcelo ismar 
liria queiroz luz hirano",,liria queiroz luz hirano,,
Hospital-Escola de Grandes Animais,jair duarte,,jair duarte da costa junior,,
Hospital-Escola de Pequenos Animais,jair duarte,,jair duarte da costa junior,,
Laboratorio de Analise de Alimentos/Bromatologia,marcio mendonca,,marcio botelho de castro,,
Laboratorio de Avaliacao de Carcacas e Qualidade de Carnes,roigo vidal,,flavio de barros vidal,,
Laboratorio de Bioquimica do Solo,maria lucrecia gerosa ramos,,maria lucrecia gerosa ramos,,
Laboratorio de Instalacoes Agropecuarias e Ambiencia,samuel martin,,samuel martin,,
"Laboratorio de Paisagismo, Floricultura e Arborizacao Urbana",julio barea pastore,,julio barea pastore,,
Laboratorio de Fruticultura,marcio de carvalho pires,,marcio de carvalho pires,,
Laboratorio de Fruticultura,osvaldo kiyoshi yamanishi,,osvaldo kiyoshi yamanishi,,
Laboratorio de Desenho Tecnico,samuel martin,,samuel martin,,
Laboratorio de Tecnica Cirurgica,a paula ou a ana carolina,,ana helena rossi,,
Laboratorio de Analises de Leite e Derivados,marcia de aguiar ferreira,,marcia de aguiar ferreira,,
Laboratorio de Anatomia Veterinaria,eduardo mauricio,,eduardo mauricio mendes de lima,,
Laboratorio de Anestesiologia Veterinaria,ricardo miyasaka,,ricardo miyasaka de almeida,,
Laboratorio de Aquicultura ,roigo diana navarro,,rodrigo diana navarro,,
Laboratorio de Biotecnologia em Organismo Aquatico,roigo diana navarro,,rodrigo diana navarro,,
Laboratorio de Bem-estar animal,francisco bernal,,francisco ernesto moreno bernal,,
Laboratorio de Bovinocultura de Corte,itibere saldanha,,itibere saldanha silva,,
Laboratorio de Diagnostico Patologico Veterinario,fabiano j f de sant'ana,,fabiano jose ferreira de sant'ana,,
Laboratorio de Doencas Infecciosas de Notificacao Obrigatoria,cristiano barros de melo,,cristiano barros de melo,,
Laboratorio de Ensaios Metabolicos,"luci s murata, aline m c racanicci",,aline teixeira alves,,
Laboratorio de Ensaios Metabolicos,marcelo rezende,,marcelo jose de mello rezende,,
Laboratorio de Epidemiologia e Planejamento em Saude Animal,vitor salvador,,vitor salvador picao goncalves,,
Laboratorio de Secagem de Materiais do Solo,cicero celio,,cicero celio de figueiredo,,
Laboratorio de Imuno-histoquimica,marcio botelho,,marcio botelho de castro,,
Laboratorio de Melhoramento Genetico Animal e Analise de Sistema de Producao Bovinocultura,itibere saldanha,,itibere saldanha silva,,
Laboratorio de Microbiologia de Alimentos,angela patricia santana,,angela patricia santana,,
Laboratorio de Estudos da Materia Organica do Solo,cicero celio de figueired,,cicero celio de figueiredo,,
Laboratorio de Microbiologia Medica Veterinaria,simone perecmanis,,simone perecmanis,,
Laboratorio de Multiuso Veterinario,simone perecmanis,,simone perecmanis,,
Laboratorio de Oftalmologia Comparada,paula diniz galera,,paula diniz galera,,
Laboratorio de Parasitologia Veterinaria e Doencas Parasitarias,gino chaves da rocha,,gino chaves da rocha,,
Laboratorio de Patologia Clinica Veterinaria,giane regina paludo,,giane regina paludo,,
Laboratorio de Patologia Veterinaria,marcio botelho,,marcio botelho de castro,,
Laboratorio de Pre-processamento e Armazenamento de Produtos Agricolas,ernandes alencar,,ernandes rodrigues de alencar,,
Laboratorio de Microbiologia do Solo,alessana monteiro de paula,,alessandra monteiro de paula,,
Laboratorio de Protecao de Plantas,ana maria resende junqueira,,ana maria resende junqueira,,
Laboratorio de Protecao de Plantas,cristina schetino bastos,,cristina schetino bastos,,
Laboratorio de Tecnologias para Terapia Genica,ricardo titze,,ricardo titze de almeida,,
Laboratorio Integrado de Reproducao Animal,ivo pivato,,ivo pivato,,
Laboratorio Integrado de Reproducao Animal,roigo arruda de oliveira,,rodrigo arruda de oliveira,,
Labortorio do Nucleo de Pesquisa em Anatomia dos Animais Silvestres,marcelo ismar silva santana,,marcelo ismar silva santana,,
Laboratorio de Bovinocultura de Leite,itibere saldanha,,itibere saldanha silva,,
Museu de Anatomia Veterinaria,eduardo mauricio,,eduardo mauricio mendes de lima,,
Laboratorio de Quimica de Solos,alessana monteiro de paula,,alessandra monteiro de paula,,
Laboratorio de Tecnologia de Sementes,nara oliveira,,nara oliveira silva souza,,
Laboratorio de Analise de Agua,delvio sani,,delvio sandri,,
Centro de Manejo de Ovinos,"sergio lucio salomon cabral filho 

 

essor:

roigo vidal oliveira 


",,sergio costa ulhoa,,
Centro de Aquicultura Sustentavel,roigo diana navarro,,rodrigo diana navarro,,
Centro Vocacional Tecnologico em Agroecologia e Agricultura Organica ,ana maria resende junqueira,,ana maria resende junqueira,,
Centro de Primatologia,maria clotilde henriques tavares,,maria clotilde henriques tavares,,
Laboratorio de Maquinas e Mecanizacao Agricola,tiago correia,,tiago ribeiro duarte,,
Laboratorio de Maquinas e Mecanizacao Agricola,francisco faggion,,francisco faggion,,
Laboratorio de Agroclimatologia,selma regina maggiotto,,vera regina fernandes da silva maraes,,
Laboratorio de Hidraulica Agricola,cicero lopes da silva,,carolina pescatori candido da silva,,
Laboratorio de Hidraulica Agricola,delvio sani,,delvio sandri,,
Laboratorio de Producao de Suinos,luci sayori murata,,luci sayori murata,,
Laboratorios de Ensinos Metabolicos (Animal House),luci sayori murata,,luci sayori murata,,
Viveiro Florestal,rosana de carvalho cristo martins,,rosana de carvalho cristo martins,,
Laboratorio de Microscopia Eletronica,a a claure nain lunardi gomes e-mail: clunardi@unbbr,,claure nain lunardi gomes,,
Laboratorio de Controle de Qualidade de Alimentos,gestora: helcia oliveira (farmaceutica) tecnica: angeislene rycelle e-mail: helciaoli@hotmailcom,,alessandro roberto de oliveira,,
Laboratorio de Praticas Integradas em Saude,"tecnico responsavel: lynce ramos de lima
e-mail: lynce@unbbr
larissa grandi vaitsman bastos",,larissa grandi vaitsman bastos,,
Laboratorio de Avaliacao e Intervencao em Fisioterapia,  roigo luiz carregaro e-mail: roigocarregaro@unbbr,,rodrigo luiz carregaro,,
Laboratorio de Reabilitacao e Habilidade Humana,leonardo petrus da silva paz,,leonardo petrus da silva paz,,
Laboratorio Multidisciplinar 1,"gestor: frederico coelho krause (biologo)
tecnico: elias luiz batista cavalcanti
e-mail: fredkrause@gmailcom cavalcante@unbbr",,joao batista pereira de queiroz,,
Laboratorio de Analise do Movimento e Processamento de Sinais,a a clarissa cardoso dos santos couto paz e-mail: clarissacardoso@unbbr,,clarissa cardoso dos santos couto paz,,
Laboratorio de Ciencias da Saude,"lauro de campos dourado (biologo)
tecnico: elias cavalcanti
e-mail: laurodecampos@hotmailco",,jose roberto de souza de almeida leite,,
Laboratorio Multidisciplinar 2,gestor: peo ivo pellicano (biologo) tecnico: elias luiz batista cavalcanti e-mail: pimpellicano@gmailcom,,joao batista pereira de queiroz,,
Laboratorio Multidisciplinar 2,cavalcante@unbbr (respectivamente,,neusa cavalcante,,
Laboratorio de Habilidades Terapeuticas,luisiane de avila santana,,luisiane de avila santana,,
Laboratorio de Habilidades e Simulacao do Cuidado,"  diana moura pinho
e-mail: diana@unbbr",,diana lucia moura pinho,,
Laboratorio de Analise de Desempenho Funcional Humano,  roigo luiz carregaro e-mail: roigocarregaro@unbbr,,rodrigo luiz carregaro,,
Laboratorio de Comunicacao Humana e Funcoes Orofaciais,isabella monteiro de castro silv,,isabella monteiro de castro silva,,
Laboratorio de Biofisica  e Fisiologia ,"  gerson cipriano junior
e-mail: cipriano@unbb",,gerson cipriano junior,,
Ginasio Terapeutico," ms sergio ricardo thomaz
e-mail: srthomaz@yahoocombr",,sergio costa ulhoa,,
"Nucleo de Tecnologia Assistiva, Acessibilidade e Inclusao",emerson fachin,,emerson fachin martins,,
Grupo de Pesquisas em Patologia Molecular,izabel cristina roigues da silva,,izabel cristina rodrigues da silva,,
Laboratorio de Analises Clinicas,"  eduardo antonio ferreira
e-mail: eduardoferreira@unbb",,eduardo antonio ferreira,,
Laboratorio de Controle de Qualidade Microbiologico,helcia crystiane c s de oliveira,,diana vaz de lima,,
Laboratorio de Instrumentacao Analitica,"diego juscelino santos dias (quimico)
tecnicos: marcos antonio florentino de oliveira leite; renata pascoal illanes tormena;
modoaldo teles do espirito santo
e-mail: djsdias@unbb",,jose roberto de souza de almeida leite,,
Laboratorio de Sintese Farmaceutica,diego juscelino santos dias (quimico) tecnicos: marcos antonio florentino de oliveira leite; renata pascoal illanes tormena; modoaldo teles do espirito santo e-mail: djsdias@unbbr,,jose roberto de souza de almeida leite,,
Centro de Referencia sobre Drogas e Vulnerabilidades Associadas,anea donatti gallassi,,andrea donatti gallassi,,
Laboratorio de Tecnologias,antonio leonardo (farmaceutico) e-mail: antoniolfgarcia@gmailcom,,kleber melo e silva,,
Laboratorio de Fotoquimica e Nanobiotecnologia,"anderson de jesus gomes
claure nain lunardi gomes",,anderson de jesus gomes,,
Nucleo de Direito Setorial e Regulatorio,marcio iorio aranha,,marcio nunes iorio aranha oliveira,,
Laboratorio do Grupo de Estudos Direito dos Recursos Naturais e Sustentabilidade,gabriela garcia batista lima moraes,,gabriela garcia batista lima moraes,,
Laboratorio Audiovisual, tel amiel,,daniel teixeira da costa araujo,,SIM
Laboratorio de Educacao de Surdos e Libras,edeilce aparecida santos buzar,,edeilce aparecida santos buzar,,
Laboratorio de Ensino de Matematica,ireuda campos mourao,,monica chiodi toscano de campos,,
Laboratorio de Informatica da Graduacao,tel amiel,,daniel teixeira da costa araujo,,SIM
Laboratorio Pedagogico de Ensino de Ciencias,helio jose santos maia,,helio jose santos maia,,
"Laboratorio de Arte, musica, cultura e Educacao",patricia lima martins pederiva,,patricia lima martins pederiva,,
Laboratorio de Apoio a Pessoa com Deficiencia Visual,sinara pollom zardo,,sinara pollom zardo,,
Laboratorio de Engenharia de Softwares Educativos Abaco,gilberto lacerda santos,,gilberto lacerda santos,,
Laboratorio de Ensino e Pesquisa em Educacao Geografica,cristina maria costa leite,,cristina maria costa leite,,
Laboratorio de Estudos da Linguagem em Educacao em Contextos Inclusivos,"cristina massot madeira coelho
fatima lucilia vidal roigues",,cristina massot madeira coelho,,
Laboratorio de Informatica da Pos- Graduacao,claudia marcia lyra pato,,claudia marcia lyra pato,,
Laboratorio de Pesquisa e Desenvolvimento do Ensino Especial: Tecnologias na Educacao Inclusiva ,amaralina miranda de souza,,amaralina miranda de souza,,
Laboratorio de Praticas Dialogicas em Educacao,sana ferraz de castillo dourado freire,,sandra ferraz de castillo dourado freire,,
Laboratorio de Producao de Recursos pedagogicos do Ensino Especial,amaralina miranda de souza,,amaralina miranda de souza,,
"Laboratorio Educacao, Ecologia Humana e Transdisciplinaridade",rosangela azevedo correa,,rosangela azevedo correa,,
Laboratorio de Pesquisa e Estudo em Massoterapia Atividades Corporais e Saude,jose celi neto,,jose roberto de souza de almeida leite,,
Laboratorio de Cineantropometria,osmar riehl,,osmar abilio de carvalho junior,,
Laboratorio do Grupo de Estudo e Pesquisa sobre Atividade Fisica para Idosos,marisete peralta safons,,marisete peralta safons,,
Laboratorio do Grupo de Estudo em Educacao Fisica e Saude Coletiva,julia aparecida devide nogueira,,julia aparecida devide nogueira,,
Laboratorio do Grupo de estudos e pesquisa em exercicio e doencas cronicas e/ou neurodegenerativas.,ricardo jaco de oliveira,,ricardo jaco de oliveira,,
Laboratorio do Grupo de Estudos em Fisiologia do Exercicio,"ricardo moreno de lima telefone:
(61) 31072500
fax:
(61) 31072500
contato do grupo:
ricardomoreno@unbbr",,jose roberto de souza de almeida leite,,
"Laboratorio do Grupo de Pesquisa e Formacao Sociocritica em Educacao Fisica, Esporte e Lazer",peo fernando avalone athayde,,pedro fernando avalone de athayde,,
Laboratorio de Analise do Desempenho Esportivo,leonardo lamas leano ribeiro,,leonardo lamas leandro ribeiro,,
Laboratorio de Analise do Movimento Humano,ana cristina de david,,ana cristina de david,,
Laboratorio de Atividade Motora Adaptada,paulo jose barbosa gutierres filho,,paulo jose barbosa gutierres filho,,
Laboratorio de Biomecanica,jake carvalho do carmo,,jake carvalho do carmo,,
Laboratorio de Ensino de Ciencia da Computacao Aplicada a Educacao Fisica e Esporte,tiago guedes russomanno,,tiago luis gil,,
Laboratorio de Fisiologia do Exercicio,guilherme eckhardt molina,,guilherme eckhardt molina,,
Laboratorio de Fisiologia Integrativa,lauro casqueiro vianna,,lauro casqueiro vianna,,
Laboratorio de Imagem e Exercicio Resistido,ricardo moreno de lima,,ricardo moreno lima,,
"Laboratorio de Pesquisa e Formacao Sociocritica e, Educacao Fisica, Esporte e Lazer",fernando mascarenhas alves,,fernando mascarenhas alves,,
Laboratorio de Pesquisa sobre Corpo e Educacao,ingrid dittrich wiggers,,ingrid dittrich wiggers,,
Laboratorio de Pesquisa sobre Gestao do Esporte,paulo henrique azevedo,,paulo henrique azevedo,,
Laboratorio de Processamento de Sinais Biologicos e controle motor,rinaldo ane mezzarane,,rinaldo andre mezzarane,,
Laboratorio de Pesquisa em Treinamento de Forca,martim f bottaro marques,,martim francisco bottaro marques,,
Laboratorio do Nucleo de Estudos do Corpo e Natureza,dulce maria filgueira de almeida,,dulce maria filgueira de almeida,,
Centro de Desenvolvimento do Esporte Recreativo e do Lazer do Distrito Federal,peo fernando avalone athayde,,pedro fernando avalone de athayde,,
Laboratorio de Engenharia e Biomaterias,"a a suelia roigues fleury rosa,
  adson ferreira da rocha,   renan utida ferreira",,adson ferreira da rocha,,
Laboratorio de Tecnologias em Biomassa,sana maria da luz,,sandra maria da luz,,
Laboratorio Compartilhado de Ensino e Pesquisa em Telecomunicacoes,sebastien rondineau,,sebastien roland marie joseph rondineau,,
Laboratorio de Dependabilidade e Seguranca,luiz augusto fontes laranjeira,,luiz augusto fontes laranjeira,,
Laboratorio BIOGAMA,"aneia alves costa lindinger
f) contato do(a) coordenador(a):",,sergio costa ulhoa,,
AI Laboratorio (Laboratorio de Inteligencia Artificial),nilton correia da silva,,nilton correia da silva,,
Laboratorio Fabrica de Software,"  ane luiz peron martins lanna
f contato do coordenador: anelanna@unbbr , (61)99426-5380 tecnico responsavel: cristovao de lima frinhani",,jose roberto de souza de almeida leite,,
Laboratorio de Sistemas Espaciais,paolo gessini,,paolo gessini,,
Laboratorio de Analise de Motores de Combustao Interna,fabio cordeiro de lisboa,,fabio cordeiro de lisboa,,
Laboratorio do Grupo Interdisciplinar de Pesquisas em Energia,rudi van els,,rudi henri van els,,
Laboratorio de Acustica e Vibracoes,maria alzira de araujo nunes,,maria alzira de araujo nunes,,
Laboratorio de Engenharia & Inovacao,suelia de siqueira roigues fleury rosa,,suelia de siqueira rodrigues fleury rosa,,
Laboratorio de Microeletronica e Sistemas Embarcados,daniel munoz,,daniel mauricio munoz arboleda,,
Laboratorio de Tecnologias Educacionais,"vandor roberto vilardi rissoli
f) contato do coordenador:
e-mail: vandorissoli@gmailcom
telefone (pessoal): 61 99213-277",,jose roberto de souza de almeida leite,,
Information Technology - Research and Application Center,rejane maria da costa figueiredo,,rejane maria da costa figueiredo,,
Laboratorio de Caracterizacao de Materiais Metalicos e Ceramicos,roigo arbey munoz meneses,,rodrigo arbey munoz meneses,,
Laboratorio de Nanotecnologia,marilia miranda forte gome,,marilia miranda forte gomes,,
Laboratoria de Sistemas Inteligentes,marilia miranda forte gome,,marilia miranda forte gomes,,
Laboratorio de Informatica em Saude,marilia miranda forte gome,,marilia miranda forte gomes,,
Laboratorio de Quimica,sana maria da luz,,sandra maria da luz,,
Laboratorio de Processos de Fabricacao,rhander viana,,rhander viana,,
Laboratorio de Mecanica Computacional e Experimental,carla tatiana mota anflor,,carla tatiana mota anflor,,
Laboratorio de Propulsao Quimica,olexiy shynkarenko,,olexiy shynkarenko,,
Laboratorio de Desenvolvimento de Sistemas,luciano emidio,,luciano emidio neves da fonseca,,
Laboratorio de Eletricidade Aplicada,jorge cormane,,jorge andres cormane angarita,,
Laboratorio de Sistemas de Energia Eletrica,jorge cormane,,jorge andres cormane angarita,,
Laboratorio de Recursos Renovaveis e Energeticos,roseany de vasconcelos vieira lopes,,roseany de vasconcelos vieira lopes,,
Laboratorio de Termo-fluidos,luciano noleto,,luciano goncalves noleto,,
Laboratorio de Sistemas e Controle ,suzana moreira avila,,suzana moreira avila,,
"Laboratorio de Matematica Aplicada, Gestao e Problemas de Instrumentacao de Engenharia",euler de vilhena garcia,,euler de vilhena garcia,,
 Grupo de Pesquisa em Aprendizado de Maquina,fabricio braz,,fabricio ataides braz,,
Centro de Pesquisa em Arquitetura da Informacao,ricardo matos chaim f,,ricardo matos chaim,,
 Laboratorio de Aparelho Respiratorio,a veronica amado,,veronica moreira amado,,
 Laboratorio de Hematologia,a flavia piazzera,,flavia de oliveira maia pires,,
 Laboratorio de Nefrologia, flavio moura,,flavio jose dutra de moura,,
 Laboratorio de Psiquiatria,a tatiana valverde,,maria del rosario tatiana fernandez mendez,,
 Laboratorio Cardiovascular, alexane soares,,luiz antonio soares romeiro,,
 Laboratorio de Anatomia Molecular e Nanomedicina, jose roberto leite,,jose roberto de souza de almeida leite,,
 Laboratorio de Dermatologia/Micologia,ciro gomes,,ciro martins gomes,,
 Laboratorio de Histopatologia,a fabiana pirani carneiro,,fabiana pirani carneiro,,
 Laboratorio de Parasitologia Medica e Biologia de Vetores, roigo gurgel goncalves,,rodrigo gurgel goncalves,,
Laboratorio de Embriologia Humana e Aplicada, jose eduardo baronez,,jose eduardo baroneza,,
Laboratorio de Ensino e Pesquisa em Otorrinolaringologia, ane sampaio,,evaldo sampaio da silva,,
Laboratorio de Imunohistoquimica,a fabiana pirani carneiro,,fabiana pirani carneiro,,
Laboratorio de Imunohistoquimica e analise de imagem,a eliza duarte,,eliza carla barroso duarte,,
Laboratorio de Odontologia e Antropologia Forenses e Medicina Legal, malthus galvao,,malthus fonseca galvao,,
Laboratorio de Preservacao e Conservacao de Material Anatomico,biol daniel carneiro,,marcella lemos brettas carneiro,,
Laboratorio de Tecnicas Histologicas,a selma kuckelhaus,,selma aparecida souza kuckelhaus,,
 Laboratorio de Genetica Clinica,a juliana mazzeu,,juliana forte mazzeu de araujo,,
Laboratorio de Inovacao em Neurociencias e Ensino em Saude,a alessana ramos venosa,,alessandra ramos venosa,,
